Drug_ID	Target_ID	Y
drg_1494	1C0T	1.544068044
drg_1495	1C0T	1.544068044
drg_1527	1C0U	2.342422681
drg_1560	1FKP	2.633468456
drg_1683	2BXV	2.602059991
drg_1831	1LW2	2.602059991
drg_1990	1JLQ	0.84509804
drg_2057	1REV	2.301029996
drg_2135	1KLM	2.414973348
drg_2849	1RT1	1.602059991
drg_3029	1JKH	1.51851394
drg_3130	1AQ1	0.9542425094
drg_3321	4EIP	4.397940009
drg_3339	1XWS	5
drg_3359	1UU9	1.414973348
drg_3362	1UU7	1.113943352
drg_3377	2VD5	1.875061263
drg_3468	1EET	0.5797835966
drg_3469	1EET	0.6812412374
drg_3473	2IC3	0.903089987
drg_3726	2OPQ	2.252853031
drg_3920	5XGN	3.763427994
drg_4124	2FO0	2.322219295
drg_4384	2V7O	1
drg_4841	4F7S	3.612783857
drg_4843	6T41	3.84509804
drg_5063	2V58	4.698970004
drg_5293	4FEX	-0.5086383062
drg_5552	6X83	4.698970004
drg_6487	6QS5	4
drg_6561	3PHY	6.477121255
drg_6562	3HOF	6.079181246
drg_6754	3LOK	0.3010299957
drg_6770	2QQ7	1.041392685
drg_6877	3NYV	2.301029996
drg_7134	6RFH	6.397940009
drg_7280	4JLC	3.380211242
drg_7283	6NG0	1.903089987
drg_7284	4NZW	1.431363764
drg_7287	6M13	1.77815125
drg_7318	2X2M	5
drg_7504	1FGI	1.301029996
drg_7736	1A4Q	0.3010299957
drg_7825	4QN7	0
drg_8281	7X4H	5
drg_8448	1B9S	4.431363764
drg_8459	1IVE	7
drg_8646	2ITO	0
drg_8724	1E1V	3.84509804
drg_8739	3KZZ	4.380211242
drg_8817	1H1Q	3.204119983
drg_8818	1H1R	3.342422681
drg_8837	1OI9	1.973127854
drg_8840	1H1S	0.9777236053
drg_8855	1OIU	2.380211242
drg_8856	1OIY	1.826074803
drg_8896	1E1X	3.462397998
drg_9033	2B55	2.556302501
drg_9075	1C8K	1.477121255
drg_9180	1W0X	3.84509804
drg_9456	1Y6A	1.342422681
