Drug_ID	Drug
drg_1494	Cc1cccc(c1)C12SCCN1C(=O)c1ccccc21
drg_1495	Cc1cccc(c1)[C@]12SCCN1C(=O)c1ccccc21
drg_1527	COC(=O)[C@H]1CSC2(N1C(=O)c1ccccc21)c1ccccc1
drg_1560	Cc1ccnc2N(C3CC3)c3ncccc3C(=O)Nc12
drg_1683	OC(=O)C1=C(CCC1)C(=O)Nc1ccc(cc1F)-c1cccc(OC(F)(F)F)c1
drg_1831	CCN1c2cc(ccc2N(C)C(=O)c2cccnc12)[N+]([O-])=O
drg_1990	Cc1cc(C)cc(c1)S(=O)(=O)c1cccc(N)c1C#N
drg_2057	C[C@H]1Cn2c3c(CN1CC=C(C)C)cc(Cl)cc3[nH]c2=S
drg_2135	CC(C)Nc1cccnc1N1CCN(CC1)C(=O)c1cc2cc(NS(C)(=O)=O)ccc2[nH]1
drg_2849	CCOCn1c(Cc2ccccc2)c(C(C)C)c(=O)[nH]c1=O
drg_3029	FC(F)(F)[C@]1(OC(=O)Nc2ccc(Cl)cc12)C#CC1CC1
drg_3130	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13
drg_3321	O=C1NCc2c1c1c3ccccc3[nH]c1c1[nH]c3ccccc3c21
drg_3339	CN(C)CCCn1cc(C2=C(C(=O)NC2=O)c2c[nH]c3ccccc23)c2ccccc12
drg_3359	NCCCn1cc(C2=C(C(=O)NC2=O)c2c[nH]c3ccccc23)c2ccccc12
drg_3362	CN1CCCC1CCn1cc(C2=C(C(=O)NC2=O)c2c[nH]c3ccccc23)c2ccccc12
drg_3377	Cn1cc(C2=C(C(=O)NC2=O)c2cn(CCCN)c3ccccc23)c2ccccc12
drg_3468	CCC(=O)c1ccc(F)c([C@H]2C[C@H]2NC(=O)Nc2ccc(Br)cn2)c1O
drg_3469	CCC(=O)c1ccc(F)c([C@@H]2C[C@@H]2NC(=O)Nc2ccc(Br)cn2)c1O
drg_3473	COc1ccc2NC(=S)[C@H](CSC)N(C(=O)OC(C)C)c2c1
drg_3726	CC[C@@H]1N(C(=O)OC(C)C)c2cc(F)ccc2NC1=O
drg_3920	Cn1c2ccccc2c2c3C(=O)NCc3c3c4ccccc4n(CCC#N)c3c12
drg_4124	Cn1c2nc(Nc3cccc(CO)c3)ncc2cc(-c2c(Cl)cccc2Cl)c1=O
drg_4384	Cn1cc(C2=C(C(=O)NC2=O)c2cn(CCCSC(N)=N)c3ccccc23)c2ccccc12
drg_4841	C(Cc1ccccc1)Nc1ncnc2ccccc12
drg_4843	Clc1ccc(CNc2ncnc3ccccc23)cc1
drg_5063	Nc1ncc2cc(c(N)nc2n1)-c1c(Br)cccc1Br
drg_5293	COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC
drg_5552	C(c1ccccc1)n1cnc2ccccc12
drg_6487	NC(=O)C(=C\c1ccc(O)c(O)c1)\C#N
drg_6561	OC(=O)\C=C\c1ccc(O)cc1
drg_6562	OC(=O)\C=C\c1ccc(O)c(O)c1
drg_6754	Brc1cccc(Nc2ncnc3ccc(NC(=O)C=C)cc23)c1
drg_6770	CN(C)C\C=C\C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1
drg_6877	COc1cc2ncnc(Nc3cccc(O)c3)c2cc1OC
drg_7134	NS(=O)(=O)c1ccc(cc1)C(O)=O
drg_7280	Cc1[nH]c(\C=C2/C(=O)Nc3ccccc23)c(C)c1CCC(O)=O
drg_7283	CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C2/C(=O)Nc3ccc(F)cc23)c1C
drg_7284	CCN(CC)CCNC(=O)c1c(C)[nH]c(\C=C2/C(=O)Nc3ccc(Cl)cc23)c1C
drg_7287	Cc1[nH]c(\C=C2/C(=O)Nc3ccc(F)cc23)c(C)c1C(=O)NCCN1CCCC1
drg_7318	Cc1cc(C)c(\C=C2/C(=O)Nc3ccccc23)[nH]1
drg_7504	Cc1c[nH]c(\C=C2/C(=O)Nc3ccccc23)c1CCC(O)=O
drg_7736	CCCN(CCc1ccccc1)C(=O)[C@@H]1OC(=C[C@H](N)[C@H]1NC(C)=O)C(O)=O
drg_7825	CCC(CC)O[C@@H]1C=C(C[C@H](N)[C@H]1NC(C)=O)C(O)=O
drg_8281	Nc1[nH]nc(C(=Cc2c[nH]c3ccccc23)C#N)c1C#N
drg_8448	CCC(CC)C(=O)Nc1cc(ccc1NC(C)=O)C(O)=O
