ids	Ligand	Target	Y
1C0T	Cc1cccc(c1)C12SCCN1C(=O)c1ccccc21	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1C0T.pdb	1.544068044
1C0T	Cc1cccc(c1)[C@]12SCCN1C(=O)c1ccccc21	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1C0T.pdb	1.544068044
1C0U	COC(=O)[C@H]1CSC2(N1C(=O)c1ccccc21)c1ccccc1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1C0U.pdb	2.342422681
1FKP	Cc1ccnc2N(C3CC3)c3ncccc3C(=O)Nc12	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1FKP.pdb	2.633468456
2BXV	OC(=O)C1=C(CCC1)C(=O)Nc1ccc(cc1F)-c1cccc(OC(F)(F)F)c1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/2BXV.pdb	2.602059991
1LW2	CCN1c2cc(ccc2N(C)C(=O)c2cccnc12)[N+]([O-])=O	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1LW2.pdb	2.602059991
1JLQ	Cc1cc(C)cc(c1)S(=O)(=O)c1cccc(N)c1C#N	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1JLQ.pdb	0.84509804
1REV	C[C@H]1Cn2c3c(CN1CC=C(C)C)cc(Cl)cc3[nH]c2=S	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1REV.pdb	2.301029996
1KLM	CC(C)Nc1cccnc1N1CCN(CC1)C(=O)c1cc2cc(NS(C)(=O)=O)ccc2[nH]1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1KLM.pdb	2.414973348
1RT1	CCOCn1c(Cc2ccccc2)c(C(C)C)c(=O)[nH]c1=O	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1RT1.pdb	1.602059991
1JKH	FC(F)(F)[C@]1(OC(=O)Nc2ccc(Cl)cc12)C#CC1CC1	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1JKH.pdb	1.51851394
1AQ1	CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13	/home/ahr/Desktop/bindingDB_IC50_v2/structures/1AQ1.pdb	0.954242509
